ActionName,ActionCode ,Modifiers,ModifiersCode,ButtonTitle,ButtonName,ButtonCode,Layer,kritaName,kritaShortcut
N/A,"""N/A""",,,AKEYCODE_BUTTON_A,A Button key,96,1,Wacom layer1,N/A
Q,45,,,AKEYCODE_BUTTON_B,B Button key,97,1,KritaShape/KisToolBrush,Q
`,68,,,AKEYCODE_BUTTON_C,C Button key,98,1,next_favorite_preset,`
`,68,Ctrl+,2010,AKEYCODE_BUTTON_X,X Button key,99,1,previous_favorite_preset,Ctrl+`
Tab,61,,,AKEYCODE_BUTTON_Y,Y Button key,100,1,view_show_canvas_only,Tab
E,33,,,AKEYCODE_BUTTON_Z,Z Button key,101,1,erase_action,E
A,29,,,AKEYCODE_BUTTON_1,Generic Game Pad Button #1,188,1,edit_undo,A
Z,54,,,AKEYCODE_BUTTON_2,Generic Game Pad Button #2,189,1,edit_redo,Z
Z,54,Ctrl+,2010,AKEYCODE_BUTTON_3,Generic Game Pad Button #3,190,1,toggle_assistant,Ctrl+Z
W,51,,,AKEYCODE_BUTTON_4,Generic Game Pad Button #4,191,1,KisAssistantTool,W
1,8,,,AKEYCODE_BUTTON_5,Generic Game Pad Button #5,192,1,set_no_brush_smoothing,1
[,71,,,AKEYCODE_BUTTON_6,Generic Game Pad Button #6,193,1,decrease_brush_size,[
F6,136,,,AKEYCODE_BUTTON_7,Generic Game Pad Button #7,194,1,show_brush_presets,F6
2,9,Ctrl+,2010,AKEYCODE_BUTTON_8,Generic Game Pad Button #8,195,1,set_weighted_brush_smoothing,Ctrl+2
],72,,,AKEYCODE_BUTTON_9,Generic Game Pad Button #9,196,1,increase_brush_size,]
2,9,,,AKEYCODE_BUTTON_10,Generic Game Pad Button #10,197,1,set_stabilizer_brush_smoothing,2
N/A,"""N/A""",,,AKEYCODE_BUTTON_A,A Button key,96,2,Wacom layer2,N/A
page_up,92,,,AKEYCODE_BUTTON_B,B Button key,97,2,activateNextLayer,page_up
0,7,Ctrl+,2010,AKEYCODE_BUTTON_C,C Button key,98,2,zoom_to_100pct,Ctrl+0
0,7,Ctrl+Shift+Alt+,2050,AKEYCODE_BUTTON_X,X Button key,99,2,toggle_zoom_to_fit,Ctrl+Shift+Alt+0
page_down,93,,,AKEYCODE_BUTTON_Y,Y Button key,100,2,activatePreviousLayer,page_down
Esc,111,,,AKEYCODE_BUTTON_Z,Z Button key,101,2,Escape Key,Esc
none,"""none""",,,AKEYCODE_BUTTON_1,Generic Game Pad Button #1,188,2,add_new_colorize_mask,none
7,14,,,AKEYCODE_BUTTON_2,Generic Game Pad Button #2,189,2,options_configure,7
H,36,,,AKEYCODE_BUTTON_3,Generic Game Pad Button #3,190,2,show_color_history,H
W,51,Ctrl+,2010,AKEYCODE_BUTTON_4,Generic Game Pad Button #4,191,2,view_toggle_assistant_previews,Ctrl+W
N,42,,,AKEYCODE_BUTTON_5,Generic Game Pad Button #5,192,2,workspaces,N
I,37,Shift+,10,AKEYCODE_BUTTON_6,Generic Game Pad Button #6,193,2,show_color_selector,Shift+I
W,51,Shift+,10,AKEYCODE_BUTTON_7,Generic Game Pad Button #7,194,2,view_toggle_painting_assistants,Shift+W
ERR_404,"""ERR_404""",,,AKEYCODE_BUTTON_8,Generic Game Pad Button #8,195,2,openSlot,ERR_404
U,49,,,AKEYCODE_BUTTON_9,Generic Game Pad Button #9,196,2,show_common_colors,U
none,"""none""",,,AKEYCODE_BUTTON_10,Generic Game Pad Button #10,197,2,view_ruler,none
N/A,"""N/A""",,,AKEYCODE_BUTTON_A,A Button key,96,3,Wacom layer3,N/A
debugMode,"""debugMode""",,,AKEYCODE_BUTTON_B,B Button key,97,3,DebugMode,debugMode
ERR_404,"""ERR_404""",,,AKEYCODE_BUTTON_C,C Button key,98,3,openSlot,ERR_404
ERR_404,"""ERR_404""",,,AKEYCODE_BUTTON_X,X Button key,99,3,openSlot,ERR_404
F3,133,,,AKEYCODE_BUTTON_Y,Y Button key,100,3,layer_properties,F3
Esc,111,,,AKEYCODE_BUTTON_Z,Z Button key,101,3,Escape Key,Esc
N,42,Ctrl+Alt+Shift+,2010,AKEYCODE_BUTTON_1,Generic Game Pad Button #1,188,3,EditLayerMetaData,Ctrl+Alt+Shift+N
N,42,Ctrl+,2010,AKEYCODE_BUTTON_2,Generic Game Pad Button #2,189,3,file_new,Ctrl+N
F5,135,,,AKEYCODE_BUTTON_3,Generic Game Pad Button #3,190,3,show_brush_editor,F5
F3,133,Ctrl+,2010,AKEYCODE_BUTTON_4,Generic Game Pad Button #4,191,3,image_properties,Ctrl+F3
O,43,Ctrl+,2010,AKEYCODE_BUTTON_5,Generic Game Pad Button #5,192,3,file_open,Ctrl+O
ERR_404,"""ERR_404""",,,AKEYCODE_BUTTON_6,Generic Game Pad Button #6,193,3,openSlot,ERR_404
I,37,Ctrl+Alt+,2010,AKEYCODE_BUTTON_7,Generic Game Pad Button #7,194,3,imagesize,Ctrl+Alt+I
S,47,Ctrl+,2010,AKEYCODE_BUTTON_8,Generic Game Pad Button #8,195,3,file_save,Ctrl+S
showButtons,"""showButtons""",,,AKEYCODE_BUTTON_9,Generic Game Pad Button #9,196,3,Show Buttons,showButtons
S,47,Ctrl+Shift+,2010,AKEYCODE_BUTTON_10,Generic Game Pad Button #10,197,3,file_save_as,Ctrl+Shift+S